transaction_id,date,supplier_id,supplier_name,category,sub_category,amount,department,cost_center,invoice_number,payment_terms
TXN-199,2024-10-21,SUP-009,GreenSpace FM,Facilities Management,Landscaping,3200.00,Operations,CC-001,INV-GS-241021,NET60
TXN-200,2024-10-22,SUP-015,ConsultCo Ltd,Professional Services,Change Management,9500.00,HR,CC-004,INV-CC-241022,NET30
TXN-201,2024-10-23,SUP-013,McKay Advisory,Professional Services,Strategy Consulting,18000.00,Finance,CC-002,INV-MK-241023,NET45
TXN-202,2024-10-24,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-241024,NET60
TXN-203,2024-10-25,SUP-007,BuildServ Ltd,Facilities Management,Maintenance & Repair,6200.00,Operations,CC-001,INV-BS-241025,NET60
TXN-204,2024-10-28,SUP-016,TalentBridge,HR & Recruitment,Recruitment Fees,7200.00,HR,CC-004,INV-TB-241028,NET30
TXN-205,2024-10-29,SUP-001,TechPro Solutions,IT & Software,Hardware,7800.00,IT,CC-003,INV-TP-2414,NET30
TXN-206,2024-10-30,SUP-011,Brand Connect Ltd,Marketing & Comms,Brand Strategy,7800.00,Marketing,CC-005,INV-BC-241030,NET30
TXN-207,2024-11-01,SUP-018,GlobalTravel Corp,Travel & Expenses,Business Travel,3600.00,Operations,CC-001,INV-GT-241101,NET30
TXN-208,2024-11-04,SUP-002,CloudBase Ltd,IT & Software,Cloud Infrastructure,9100.00,IT,CC-003,INV-CB-2415,NET30
TXN-209,2024-11-05,SUP-014,Stratford Partners,Professional Services,M&A Integration,19500.00,Finance,CC-002,INV-SP-241105,NET45
TXN-210,2024-11-06,SUP-013,McKay Advisory,Professional Services,Strategy Consulting,18000.00,Finance,CC-002,INV-MK-241106,NET45
TXN-211,2024-11-07,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-241107,NET60
TXN-212,2024-11-08,SUP-017,HRPro Services,HR & Recruitment,Payroll Processing,4800.00,HR,CC-004,INV-HP-241108,NET30
TXN-213,2024-11-11,SUP-005,CyberShield Ltd,IT & Software,Endpoint Protection,4900.00,IT,CC-003,INV-CS-241111,NET30
TXN-214,2024-11-12,SUP-010,MediaEdge Agency,Marketing & Comms,Digital Advertising,9500.00,Marketing,CC-005,INV-ME-241112,NET30
TXN-215,2024-11-13,SUP-007,BuildServ Ltd,Facilities Management,Maintenance & Repair,5400.00,Operations,CC-001,INV-BS-241113,NET60
TXN-216,2024-11-14,SUP-012,Digital Spark,Marketing & Comms,Social Media Management,4800.00,Marketing,CC-005,INV-DI-241114,NET30
TXN-217,2024-11-15,SUP-003,DataSec International,IT & Software,Cybersecurity,5500.00,IT,CC-003,INV-DS-241115,NET30
TXN-218,2024-11-18,SUP-016,TalentBridge,HR & Recruitment,Executive Search,18000.00,Sales,CC-006,INV-TB-241118,NET30
TXN-219,2024-11-19,SUP-015,ConsultCo Ltd,Professional Services,IT Consulting,8400.00,IT,CC-003,INV-CC-241119,NET30
TXN-220,2024-11-20,SUP-001,TechPro Solutions,IT & Software,Software Licences,12500.00,IT,CC-003,INV-TP-2415,NET30
TXN-221,2024-11-21,SUP-014,Stratford Partners,Professional Services,Financial Advisory,14500.00,Finance,CC-002,INV-SP-241121,NET45
TXN-222,2024-11-22,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-241122,NET60
TXN-223,2024-11-25,SUP-013,McKay Advisory,Professional Services,Strategy Consulting,18000.00,Finance,CC-002,INV-MK-241125,NET45
TXN-224,2024-11-26,SUP-002,CloudBase Ltd,IT & Software,Cloud Infrastructure,9100.00,IT,CC-003,INV-CB-2416,NET30
TXN-225,2024-11-27,SUP-011,Brand Connect Ltd,Marketing & Comms,Events & Sponsorship,24000.00,Marketing,CC-005,INV-BC-241127,NET30
TXN-226,2024-11-28,SUP-019,ExecutiveFlight Ltd,Travel & Expenses,Air Travel,4100.00,Finance,CC-002,INV-EF-241128,NET30
TXN-227,2024-12-02,SUP-007,BuildServ Ltd,Facilities Management,Year-End Maintenance,12500.00,Operations,CC-001,INV-BS-241202,NET60
TXN-228,2024-12-03,SUP-016,TalentBridge,HR & Recruitment,Recruitment Fees,8200.00,Finance,CC-002,INV-TB-241203,NET30
TXN-229,2024-12-04,SUP-013,McKay Advisory,Professional Services,Strategy Consulting,18000.00,Finance,CC-002,INV-MK-241204,NET45
TXN-230,2024-12-05,SUP-010,MediaEdge Agency,Marketing & Comms,Campaign Management,16500.00,Marketing,CC-005,INV-ME-241205,NET30
TXN-231,2024-12-06,SUP-006,CleanRight FM,Facilities Management,Cleaning Services,4200.00,Operations,CC-001,INV-CR-241206,NET60
TXN-232,2024-12-09,SUP-001,TechPro Solutions,IT & Software,Software Licences,12500.00,IT,CC-003,INV-TP-2416,NET30
TXN-233,2024-12-10,SUP-003,DataSec International,IT & Software,Annual Security Audit,12000.00,IT,CC-003,INV-DS-241210,NET30
TXN-234,2024-12-11,SUP-014,Stratford Partners,Professional Services,Year-End Advisory,18500.00,Finance,CC-002,INV-SP-241211,NET45
TXN-235,2024-12-12,SUP-002,CloudBase Ltd,IT & Software,Cloud Infrastructure,9100.00,IT,CC-003,INV-CB-2417,NET30
TXN-236,2024-12-13,SUP-017,HRPro Services,HR & Recruitment,HR Outsourcing,5100.00,HR,CC-004,INV-HP-241213,NET30
TXN-237,2024-12-16,SUP-008,SafetyFirst Co,Facilities Management,Year-End Security Review,4900.00,Operations,CC-001,INV-SF-241216,NET60
TXN-238,2024-12-17,SUP-015,ConsultCo Ltd,Professional Services,Project Closeout,6500.00,Finance,CC-002,INV-CC-241217,NET30
TXN-239,2024-12-18,SUP-011,Brand Connect Ltd,Marketing & Comms,Brand Strategy,8500.00,Marketing,CC-005,INV-BC-241218,NET30
TXN-240,2024-12-19,SUP-018,GlobalTravel Corp,Travel & Expenses,Business Travel,4200.00,Sales,CC-006,INV-GT-241219,NET30
